,attractive,calm,capable,diligent,extroverted,friendly,happy,healthy,high-social-status,humble,intelligent,kind,masculine,powerful,responsible,successful,trustworthy,warm
Google_1_Randy Corbin_3_oval.jpg,4.538461538461538,6.666666666666667,5.333333333333333,3.5625,6.142857142857143,6.470588235294118,6.923076923076923,5.181818181818182,4.7368421052631575,5.818181818181818,5.25,5.875,7.894736842105263,5.363636363636363,4.461538461538462,3.8,6.2727272727272725,7.333333333333333
Google_1_Susan Emery_15_oval.jpg,6.75,6.7,6.583333333333333,7.181818181818182,7.153846153846154,7.214285714285714,5.666666666666667,6.538461538461538,6.230769230769231,6.75,6.238095238095238,6.5,2.4285714285714284,5.2,6.9,6.857142857142857,6.909090909090909,6.769230769230769
Google_1_Joanna Saito_3_oval.jpg,5.7272727272727275,6.583333333333333,5.384615384615385,5.866666666666666,6.909090909090909,6.266666666666667,7.0625,4.916666666666667,6.75,5.5,5.5,5.666666666666667,3.230769230769231,5.214285714285714,6.5625,6.5,6.0,6.294117647058823
Google_1_Yvette Hardwick_14_oval.jpg,4.0,6.333333333333333,5.769230769230769,5.7894736842105265,3.090909090909091,4.461538461538462,3.1666666666666665,5.2,5.083333333333333,4.0,5.3,4.384615384615385,3.6666666666666665,4.384615384615385,5.6923076923076925,5.0,4.5,3.8181818181818183
Google_1_Diana Baugh_7_oval.jpg,5.642857142857143,6.866666666666666,7.125,6.5,6.2727272727272725,7.076923076923077,6.9375,6.333333333333333,5.866666666666666,6.461538461538462,6.083333333333333,7.0,2.1666666666666665,4.857142857142857,6.7272727272727275,5.5,7.166666666666667,7.0
Google_1_Gary Unruh_4_oval.jpg,2.4375,5.714285714285714,6.090909090909091,5.95,3.5,4.714285714285714,3.5,4.260869565217392,4.857142857142857,4.636363636363637,5.541666666666667,4.1,7.5,5.75,5.357142857142857,6.2,4.1875,4.0
Google_1_Howard Nelson_15_oval.jpg,6.071428571428571,3.9166666666666665,7.0,7.0625,4.142857142857143,4.416666666666667,4.833333333333333,6.538461538461538,7.0,4.571428571428571,6.538461538461538,5.071428571428571,7.111111111111111,6.666666666666667,6.5,6.0,5.705882352941177,4.05
Google_1_Florence Lott_19_oval.jpg,7.642857142857143,6.166666666666667,5.8,4.8125,5.0,4.545454545454546,6.222222222222222,6.933333333333334,6.388888888888889,3.3636363636363638,4.588235294117647,5.615384615384615,1.1875,5.133333333333334,4.461538461538462,6.095238095238095,4.416666666666667,5.714285714285714
Google_1_Donald Mcclurg_16_oval.jpg,1.5714285714285714,4.636363636363637,4.0,3.0,5.214285714285714,4.8,4.75,3.5555555555555554,2.4,5.545454545454546,3.8,3.9444444444444446,7.565217391304348,4.526315789473684,3.3333333333333335,3.769230769230769,4.666666666666667,3.9166666666666665
Google_1_Ralph Canty_3_oval.jpg,4.166666666666667,3.4,2.769230769230769,2.4,1.8333333333333333,2.4545454545454546,2.727272727272727,6.333333333333333,2.7777777777777777,2.4545454545454546,2.642857142857143,2.8,5.428571428571429,2.8125,3.3846153846153846,2.727272727272727,3.2857142857142856,2.5625
Google_1_Jeffery Orosco_9_oval.jpg,2.5833333333333335,3.9285714285714284,6.125,6.1875,4.454545454545454,4.1,4.571428571428571,6.416666666666667,4.384615384615385,4.416666666666667,6.3076923076923075,3.9,7.444444444444445,5.916666666666667,4.545454545454546,5.583333333333333,4.454545454545454,4.5
Google_1_Randy Gary_3_oval.jpg,5.083333333333333,5.0,6.7,6.5,5.166666666666667,4.8,4.9,6.5,6.357142857142857,4.545454545454546,6.545454545454546,4.461538461538462,7.411764705882353,6.764705882352941,7.181818181818182,6.964285714285714,4.818181818181818,4.875
Google_1_Catherine Deberry_3_oval.jpg,4.0,6.428571428571429,5.923076923076923,5.666666666666667,5.0,6.818181818181818,6.153846153846154,3.8333333333333335,5.761904761904762,5.75,5.357142857142857,6.714285714285714,2.090909090909091,4.375,5.846153846153846,5.888888888888889,7.090909090909091,6.0
Google_1_Geneva Patrick_1_oval.jpg,3.4285714285714284,4.090909090909091,4.3076923076923075,5.857142857142857,4.666666666666667,5.0588235294117645,4.928571428571429,4.454545454545454,4.909090909090909,6.285714285714286,4.916666666666667,5.636363636363637,3.533333333333333,4.904761904761905,5.285714285714286,5.6,6.1,4.384615384615385
Google_1_Melinda Healey_7_oval.jpg,4.75,6.833333333333333,6.583333333333333,7.0,7.3,8.090909090909092,7.384615384615385,6.416666666666667,5.733333333333333,6.833333333333333,6.071428571428571,6.133333333333334,7.461538461538462,6.090909090909091,6.5,6.0,7.071428571428571,6.75
Google_1_Samuel Pugliese_19_oval.jpg,4.3076923076923075,6.083333333333333,6.9375,6.615384615384615,6.076923076923077,6.428571428571429,5.214285714285714,5.25,5.722222222222222,5.714285714285714,6.166666666666667,5.842105263157895,7.111111111111111,5.636363636363637,6.153846153846154,6.461538461538462,5.583333333333333,5.571428571428571
Allison_Baldridge_7_oval.jpg,4.230769230769231,6.733333333333333,6.0,6.423076923076923,6.266666666666667,7.7,6.923076923076923,6.714285714285714,5.8,6.066666666666666,6.153846153846154,6.357142857142857,6.882352941176471,5.722222222222222,5.6,6.583333333333333,5.785714285714286,7.333333333333333
Google_1_Janet Lippert_9_oval.jpg,3.6666666666666665,6.545454545454546,6.166666666666667,6.75,6.333333333333333,6.0,6.611111111111111,4.388888888888889,6.055555555555555,5.647058823529412,4.5,6.166666666666667,3.0,5.647058823529412,6.076923076923077,6.3076923076923075,6.5,5.363636363636363
Google_1_Christina Kilby_1_oval.jpg,6.916666666666667,7.176470588235294,7.2,7.176470588235294,7.230769230769231,7.1875,8.0,7.6,6.6923076923076925,5.181818181818182,7.066666666666666,6.7272727272727275,1.4615384615384615,6.625,7.133333333333334,7.818181818181818,7.181818181818182,7.285714285714286
