,id,username,age,gender,hispanic,number,race,movie,country,friend,country_list
233,244,AIMAX62Y72B6P,20-29,Female,No,4,White,10+,none,11-50,
234,245,AW6QLOMTOO770,30-39,Male,No,4,White,1-10,30+,50+,"South Korea, Singapore, Malaysia, China"
235,246,A1MFBQCJDFFSZO,30-39,Female,No,4,White,10+,none,11-50,
236,247,A3DUPRZSMU9W5R,40-49,Female,No,3,White,10+,none,1-10,
237,248,A2Z03W0OORZLU8,30-39,Female,No,4,White,10+,none,50+,
238,249,A32AQG6JIVGS,40-49,Male,No,4,White,1-10,none,50+,None
239,250,A32AQG6JIVGS,40-49,Male,No,4,White,10+,none,50+,None
240,251,ACZCX0BDOL5CK,20-29,Male,No,4,Asian,1-10,11-30,50+,China
241,252,A3OW3A1F50PIBL,20-29,Female,No,4,White,1-10,none,1-10,
242,253,A37UL0UGPVPUUZ,30-39,Female,No,4,Black,1-10,none,50+,
243,254,A3HZFB2JLF3JMY,30-39,Male,No,4,Black,1-10,1-10,none,no
244,255,A34OWS9M9RPR9G,30-39,Female,No,4,Black,none,none,none,No
245,256,A2KU4LO2S9WXNM,60+,Male,No,4,Asian,10+,30+,50+,India
246,257,A1OVWFD0HIX7R0,30-39,Female,No,4,White,1-10,none,50+,
247,258,A1L0EUR3L7BK6D,40-49,Female,No,4,Natives,1-10,1-10,11-50,shanghi
248,259,A2615YW1YERQBO,50-59,Male,No,4,White,none,none,11-50,
249,260,A3OL8X89T5C26B,20-29,Female,No,4,White,1-10,none,1-10,
250,261,A1G8SAYDUJGRJ6,30-39,Female,Yes,4,Asian,10+,1-10,1-10,NONE
251,262,AWCNXEWH2A4VA,20-29,Female,No,4,Natives,1-10,none,1-10,
252,263,A2251X4Z0421VE,40-49,Male,No,4,White,10+,none,50+,
253,264,A341L6CG7VBR6J,20-29,Female,No,4,White,1-10,none,11-50,
254,265,A4B5W145RQAM4,30-39,Female,No,4,Black,none,none,1-10,none
255,266,A3U2BUIISXODXG,50-59,Male,No,4,White,1-10,30+,1-10,japan
256,267,A9AKXVUGZNVTE,30-39,Female,No,4,Black,1-10,1-10,11-50,Hong Kong 
